Summary,Review,Rating
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Good place to work!,"After 26yrs, am happy with Walmart over all. Good hours, great benefits. Can move around with in the company. Management is good to associates. Great community involvement. ",5
High pressure retail.,You can move up or move out quickly all depending on whether or not your market manager or regional manager like you. One visit can change everything for the good or for the bad.,2
Heavy on tech – light on training. ,"Was saddled with a “trainer” who did not like training. Job went downhill from there. Was promised M-F, 8AM-5PM schedule, but after training got scheduled for weekends. When the pandemic hit, everyone started working from home. A year and 4 months later, when Walmart invited everyone to begin transitioning back to the office, our team was told we’d be working from home permanently. Great if you’re an introvert or don’t like being around people. Awful if you’re an extrovert or enjoy being around people. ",3
Customers,Customers tend to treat us like we are a second rate telemarketing company which we are not and can be rude and hateful and blame all their problems on billing Dept even if it’s a delivered order that was stolen from their home or bank issues that are not our fault. You must have tough skin to handle this job. ,5
Wealthy Company with a Poor Culture,It's somewhat difficult to explain but this company just can't figure it out at the corporate level. From mediocre salaries to old processes. Imagine a Tesla exterior with a Ford motor.,3
"Depending on your leadership, you can do extremely well or get railroaded out. Both happen just as quickly.","It's typical retail. There is a ton of upside if you get the right managers above you. There is a ton of downside if you get the wrong managers above you. The market managers and regional managers control your entire destiny based off of a couple of visits. That part is the most disappointing, but on the flip side, those couple of visits can catapult you to the top as well if they like you during them.",3
It’s far from okay,Definitely seems like there’s room to grow but you will constantly be overlooked for different positions and advancements. It’s really sad that a company that is so large has such little room for real growth,1
Something for Everyone ,Large company with a ton of room for advancement based on where you want to go. Family and work balance has greatly improved over the years and that’s a significant benefit ,4
They care about their employees if you need time off you can take it And that means everything,Busy all day makes the time go by super fastManagement is great and very helpful in learningReally the hardest part about my job is just showing up that’s it and dealing with grouchy customers from time to timeThe people there are great,4
Good pay and good benefits ,Worked in the home office for 4 years.Environment was good and pay was fair. Management is not always helpful as they sometimes don’t know how to adept to each person differently. Job security isn’t really there since they do lay offs so often.Overall good place to work just remember you are just a number. ,4
I had Terrible Manager ,"I was very excited to get a job in the Health and Wellness division and made some great friends in the field. But I wanted to advance and work in Optical, not Pharma where I was hired. After working for a year I tried to move over to Optical but my manager wants me to stay in Pharma and would not let me move. I am moved on and move away from Bentonville Arkansas but I would not recommend anyone go work there and move their family there for a job as they have a high turnover in senior management at the home office and because they phase your job out. This did not happen to me but to many of my friends. ",2
It's a great place to work,"Good pay, work life balance. There are some inconsistencies in work from home policy. Associates that have worked at Walmart for a year+ are not allowed to relocate and work remote, but some new associates are getting hired as remote. Feels like California employees get special treatment over Bentonville Associates.",4
You get to solve the largest technology problems in the world ,Great company with high expectations and the ability for anyone in the company to get to any position. The technology group is fun to work for and has a culture of continuous learning. Be prepared to work long hours as the company is transforming. ,4
